time,admin1,tmx,pre
1902-06,Middle Juba,31.6,57.28
1902-06,Middle Shabelle,31.26,27.720001
1902-06,Mudug,32.882355,5.882353
1902-06,Nugaal,32.72,5.33
1902-06,Sanaag,32.18889,11.338889
1902-06,Sool,32.416668,9.016667
1902-06,Togdheer,31.630001,15.56
1902-06,Woqooyi Galbeed,33.920002,6.18
1902-07,Awdal,39.325,0.82500005
1902-07,Bakool,31.55,6.4000006
1902-07,Banadir,30.375,29.4900025
1902-07,Bari,32.49167,3.375
1902-07,Bay,30.850002,18.09286
1902-07,Galgaduud,31.852942,4.2705884
1902-07,Gedo,32.55714,5.5
1902-07,Hiraan,31.609093,8.409091
1902-07,Lower Juba,30.67059,13.952942
1902-07,Lower Shabelle,30.35,31.340002
1902-07,Middle Juba,30.939999,6.5
1902-07,Middle Shabelle,30.4,27.640003
1902-07,Mudug,31.98235,0.582353
1902-07,Nugaal,31.920002,0.39000002
1902-07,Sanaag,32.0,9.511111
1902-07,Sool,32.15,2.45
1902-07,Togdheer,32.010002,8.339999
1902-07,Woqooyi Galbeed,34.870003,6.0
1902-08,Awdal,38.975,1.25
1902-08,Bakool,32.2,4.1125
1902-08,Banadir,30.6900005,17.4699995
1902-08,Bari,32.558334,5.879167
1902-08,Bay,31.34286,9.3
1902-08,Galgaduud,32.19412,2.8235295
1902-08,Gedo,33.107143,2.578571
1902-08,Hiraan,32.054543,5.572727
1902-08,Lower Juba,30.952942,4.6411767
1902-08,Lower Shabelle,30.66,16.9
1902-08,Middle Juba,31.320002,4.8
1902-08,Middle Shabelle,30.720001,18.039999
1902-08,Mudug,32.24118,0.6588235
1902-08,Nugaal,32.15,1.72
1902-08,Sanaag,32.083332,12.083335
1902-08,Sool,32.34167,3.8333333
1902-08,Togdheer,32.260002,10.68
1902-08,Woqooyi Galbeed,34.85,8.82
1902-09,Awdal,36.199997,0.925
1902-09,Bakool,33.0375,11.325001
1902-09,Banadir,31.514999000000003,9.8500005
1902-09,Bari,33.754166,7.2166667
1902-09,Bay,32.221428,8.728572
