admin1,year,population_density
Lower_Juba,2015,125.87434811575179
Mudug,2015,71.75584756833278
Nugaal,2015,19.706509819069538
Sanaag,2015,22.5062457056053
Middle_Shabelle,2015,163.66545357094475
Lower_Shabelle,2015,537.7946770601877
Sool,2015,21.592195405395618
Togdheer,2015,57.09845320924823
Woqooyi_Galbeed,2015,96.46102551369944
Awdal,2016,141.66653044943396
Bakool,2016,103.52974568893711
Banadir,2016,6288.475824919914
Bari,2016,62.337388581106616
Bay,2016,99.1318667772593
Galgaduud,2016,49.89342182704212
Gedo,2016,77.46471067941276
Hiraan,2016,48.276946533949385
Middle_Juba,2016,60.833313015106384
Lower_Juba,2016,129.69152282025806
Mudug,2016,73.93192783883698
Nugaal,2016,20.304099475509442
Sanaag,2016,23.188758595928302
Middle_Shabelle,2016,168.6287721177253
Lower_Shabelle,2016,554.1037487584094
Sool,2016,22.247009320205844
Togdheer,2016,58.83001424826246
Woqooyi_Galbeed,2016,99.38626881429339
Awdal,2017,145.836243184076
Bakool,2017,106.57695383900987
Banadir,2017,6473.564885512343
Bari,2017,64.17214810785832
Bay,2017,102.0496526267132
Galgaduud,2017,51.36191847217759
Gedo,2017,79.74471269582064
Hiraan,2017,49.69794197309835
Middle_Juba,2017,62.62382265332726
Lower_Juba,2017,133.50869752476433
Mudug,2017,76.10800810934118
Nugaal,2017,20.901689131949347
Sanaag,2017,23.871271486251306
Middle_Shabelle,2017,173.59209066450586
Lower_Shabelle,2017,570.4128204566312
Sool,2017,22.90182323501607
Togdheer,2017,60.56157528727669
Woqooyi_Galbeed,2017,102.31151211488734
Awdal,2018,150.00595591871806
Bakool,2018,109.62416198908264
Banadir,2018,6658.653946104771
Bari,2018,66.00690763461002
Bay,2018,104.96743847616709
Galgaduud,2018,52.830415117313066
Gedo,2018,82.02471471222852
Hiraan,2018,51.11893741224732
Middle_Juba,2018,64.41433229154813
Lower_Juba,2018,137.3258722292706
Mudug,2018,78.28408837984539
Nugaal,2018,21.49927878838925
Sanaag,2018,24.55378437657431
Middle_Shabelle,2018,178.55540921128642
Lower_Shabelle,2018,586.7218921548529
Sool,2018,23.556637149826297
Togdheer,2018,62.29313632629092
