,time,Previous (Departure) Region,Banadir,level_0,index,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,yr_mth,sum_disp,population_density,inv_distance,log_disp_ban,x,x_dist,inv_distance_2,gdp_mean,accessibility_to_cities_mean,shapeName,gdp_pp_destination,Disp_log
40,2022-03,Hiraan,102,1339,1454,Hiraan,2022,3,0.5289216627681244,0.3650272181720174,0.04597701149425287,0.63467766754484,0.44649506361127633,0.34965503900798445,0.29633924716845417,0.20481998926344036,0.5768758964045627,0.3458330667062284,0.28489420553660183,0.23502554307760293,0.3263945003964617,0.2998565865094134,0.25178170523598037,0.04046242774566474,0.029239766081871343,0.029239766081871343,0.023529411764705882,0.01775147928994083,0.011904761904761904,0.18604651162790697,2022-03,0.0,0.0,0.5017432022319003,4.624972813284271,0.3359419785707707,0.4655416226968674,0.34422458867737493,0.05714120766014577,0.5885775562002598,Hiraan,1.0,0.35101041645919695
41,2022-03,Lower Juba,102,1340,1454,Lower Juba,2022,3,0.5791294436526411,0.19386307863722324,0.9482758620689655,0.8396126601786393,0.8359760630967912,0.8951803603512084,1.0,0.8452738709864311,0.9781906723727651,0.38629252296531175,0.42403745994675957,0.4390263216035074,0.7317798876798937,0.4494463793322099,0.309754436368823,0.9479768786127167,0.9473684210526316,0.9473684210526315,0.9470588235294117,0.9467455621301775,0.9464285714285714,0.34883720930232553,2022-03,0.06526731191209241,0.16095237386298109,0.015152044201296566,4.624972813284271,0.08617256621176723,0.32017598794817514,0.00574966922777842,0.039153384255340457,0.38841259897393965,Lower Juba,0.0,0.35101041645919695
42,2022-03,Lower Shabelle,8978,1341,1454,Lower Shabelle,2022,3,0.5438391369449946,0.3488293409883327,0.2471264367816092,0.7311133306425901,0.6306151175452119,0.5905689299703358,0.6370197156393446,0.5115676664485245,0.7506495181053979,0.3124529175670586,0.26748080294943344,0.24918265945815415,0.32366593745726835,0.25827207777160455,0.19603909413039766,0.24277456647398843,0.23391812865497075,0.23391812865497075,0.22941176470588234,0.22485207100591714,0.22023809523809523,0.3837209302325581,2022-03,0.006353229345625883,1.0,0.8311127926489761,9.102532419341877,0.9498135227009099,0.9485503172637836,0.7426717462482046,0.9999999999999999,0.08296218788690846,Lower Shabelle,0.21968073428723167,0.8362917079664861
44,2022-03,Middle Shabelle,477,1343,1454,Middle Shabelle,2022,3,0.29678236597284435,0.35976501927678917,0.04597701149425287,0.3478837844635098,0.228954487978226,0.18782535450362098,0.16910957906404384,0.1252173903199991,0.4871771448489615,0.36628527782752923,0.239416750804752,0.1954200333952435,0.2896694713051972,0.26846316022477074,0.2745587189765534,0.04046242774566474,0.029239766081871343,0.029239766081871343,0.023529411764705882,0.01775147928994083,0.011904761904761904,0.10465116279069767,2022-03,0.011966524349793329,0.2379307952048895,0.9999999999999998,6.167516490888341,0.48206607220263914,0.40334549369465766,1.0,0.44308614018854486,0.0,Middle Shabelle,0.7292471613009842,0.5181924651496005
45,2022-03,Mudug,48,1344,1454,Mudug,2022,3,0.378246550102502,0.3881943653622679,0.028735632183908046,0.48717363957748744,0.2773312147243173,0.13417872627416133,0.1288183515786801,0.0,0.5271470834436651,0.3693065461640347,0.22074096868837365,0.17273678169839748,0.3371738322469618,0.3527825669348489,0.35619975343676213,0.023121387283236993,0.011695906432748537,0.011695906432748537,0.0058823529411764705,0.0,0.011904761904761904,0.046511627906976744,2022-03,0.0554185306775077,0.050718681885182554,0.0,3.8712010109078907,0.02142107162103611,0.08413569878110547,0.0,0.06794018611938496,1.0,Mudug,0.5260861670737208,0.2693160592776389
54,2022-04,Bay,2425,1354,1455,Bay,2022,4,0.7170119833643124,0.7815198737724433,0.26436781609195403,0.647590841792628,0.7451103230857188,0.7720645527640557,0.7069455444555517,0.7212056013838783,0.801714797112458,0.30864410050083635,0.05113828054358506,0.4212627286811593,0.49543507282864707,0.4200554729066298,0.26253623456225367,0.26011560693641617,0.25146198830409355,0.25146198830409355,0.24705882352941178,0.24260355029585798,0.23809523809523808,0.24418604651162792,2022-04,0.006285189406181429,0.10053790455849915,0.34990182636372524,7.793586803371583,0.3598894142525799,0.6263482200450688,0.20657670899278555,0.1879583329237419,0.16147689760690798,Bay,0.690152857978403,0.6944271936065859
55,2022-04,Galgaduud,41,1355,1455,Galgaduud,2022,4,0.34639462484691,0.4105653380040252,0.05172413793103448,0.44834238486883715,0.4691336630557057,0.38152180053303525,0.20280282341662098,0.16791956554308873,0.3770007193301568,0.36675193141999735,0.2513454782829697,0.26147993283304716,0.2861870172535012,0.3086136512131175,0.308818294464811,0.046242774566473986,0.03508771929824561,0.03508771929824561,0.029411764705882353,0.023668639053254437,0.017857142857142856,0.12790697674418605,2022-04,0.03073704264403205,0.0031949352673421444,0.17775360482559616,3.7135720667043075,0.11816918759868629,0.27623741758075737,0.08566252913034295,0.0,0.5045525450071277,Galgaduud,0.5454441950719514,0.2522321152652448
57,2022-04,Hiraan,37,1357,1455,Hiraan,2022,4,0.47584697211236304,0.46303924044274114,0.05172413793103448,0.5282213617517711,0.5423322162071785,0.4857211589085375,0.34965503900798445,0.29633924716845417,0.4856946410164432,0.3476999697982158,0.2206001267193073,0.28900898190294,0.3260911087534213,0.3292284481833432,0.2998565865094134,0.046242774566473986,0.03508771929824561,0.03508771929824561,0.029411764705882353,0.023668639053254437,0.017857142857142856,0.08139534883720931,2022-04,0.0014033237510418617,0.0,0.5017432022319003,3.6109179126442243,0.4060406830656472,0.5671668333658293,0.34422458867737493,0.05714120766014577,0.5885775562002598,Hiraan,1.0,0.2411063805249479
58,2022-04,Lower Juba,22,1358,1455,Lower Juba,2022,4,0.7534454350485749,0.4437912558229343,0.9540229885057471,0.5823398019517089,0.7357845949681899,0.8476002025705514,0.8951803603512084,1.0,0.9981386408982162,0.18466071358927216,0.25668837939339667,0.4610416279072832,0.5423069717907205,0.7381336282933408,0.4494463793322099,0.9537572254335259,0.9532163742690059,0.9532163742690059,0.9529411764705882,0.9526627218934911,0.9523809523809523,0.3837209302325581,2022-04,0.014356427222779774,0.16095237386298109,0.015152044201296566,3.0910424533583156,0.07513109961419495,0.27893697482908764,0.00574966922777842,0.039153384255340457,0.38841259897393965,Lower Juba,0.0,0.18476188564342852
59,2022-04,Lower Shabelle,2741,1359,1455,Lower Shabelle,2022,4,0.683166722913995,0.49054082978980573,0.25287356321839083,0.5443007506423491,0.633364539110624,0.6567928905838307,0.5905689299703358,0.6370197156393446,0.7311315274762173,0.3322709795005435,0.19082633913503394,0.26747956076277457,0.341095919805903,0.32647619426622737,0.25827207777160455,0.24855491329479767,0.23976608187134502,0.23976608187134502,0.23529411764705882,0.23076923076923075,0.22619047619047616,0.7441860465116279,2022-04,0.005392165200972972,1.0,0.8311127926489761,7.916078096302786,0.9538352107636966,0.9526732321609835,0.7426717462482046,0.9999999999999999,0.08296218788690846,Lower Shabelle,0.21968073428723167,0.7077028924385195
