index,time,admin1,year,month,TA,PA,DL,TA_lag1,PA_lag1,DL_lag1,conflicts,Awdal_x,Bakool_x,Banadir_x,Bari_x,Bay_x,Galgaduud_x,Gedo_x,Hiraan_x,Lower_Juba_x,Lower_Shabelle_x,Middle_Juba_x,Middle_Shabelle_x,Mudug_x,Nugaal_x,Sanaag_x,Sool_x,Togdheer_x,Woqooyi_Galbeed_x,April,August,December,February,January,July,June,March,May,November,October,September,month_name,yr_mth,Awdal_y,Bakool_y,Banadir_y,Bari_y,Bay_y,Galgaduud_y,Gedo_y,Hiraan_y,Lower_Juba_y,Lower_Shabelle_y,Middle_Juba_y,Middle_Shabelle_y,Mudug_y,Nugaal_y,Sanaag_y,Sool_y,Togdheer_y,Woqooyi_Galbeed_y,sum_disp,population_density,conflicts_pro_capite
1382,2016-03,Galgaduud,2016,3,1.6287976256549177,0.1787644345163282,14,1.146228019293665,0.2076155543823118,13.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.89342182704212,0.14029905634185258
1382,2016-03,Gedo,2016,3,1.670004344008654,-0.3195221968387908,93,1.2599097816795624,-0.2208272199266326,92.0,9.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,19,0,0,88,0,38,0,0,0,0,0,0,0,0,0,0,0,145,77.46471067941276,0.11618193524592696
1382,2016-03,Hiraan,2016,3,1.6829838157204842,0.1110750925331744,43,1.267826533592587,0.1601034902829003,42.0,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.276946533949385,0.20713820400732647
1382,2016-03,Lower_Juba,2016,3,1.931318509636493,-0.0189697204190534,93,1.480904775031313,0.0357901855770479,92.0,18.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,0,0,0,0,0,0,0,163,0,7,0,0,0,0,0,0,0,170,129.69152282025806,0.13879087552196098
1382,2016-03,Lower_Shabelle,2016,3,1.59664831553627,0.0775724033936771,92,0.9941466213950012,0.1262252440567089,91.0,38.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,0,1380,0,0,0,0,0,0,774,0,0,0,0,0,0,0,0,2154,554.1037487584094,0.06857921478630546
1382,2016-03,Middle_Juba,2016,3,1.8543178437262675,-0.0011545548318609,93,1.3376529561700927,0.0191064125690568,92.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,0,0,0,178,0,145,0,23,0,0,0,0,0,0,0,0,0,346,60.833313015106384,0.06575344661907043
1382,2016-03,Middle_Shabelle,2016,3,1.0609413772875524,0.1275279100713189,14,0.7067655293922144,0.1777708796214337,13.0,7.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0,0,0,0,660,168.6287721177253,0.04151130268038167
1382,2016-03,Mudug,2016,3,1.75350363928673,0.1851848819616844,14,1.1458134727961424,0.1842036196330697,13.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,0,67,42,3,15,0,57,0,3,0,7,1216,0,0,0,0,5,1415,73.93192783883698,0.27051911920378535
1382,2016-03,Nugaal,2016,3,2.321012086654613,0.2185670631387879,14,1.6595070291352385,0.2094031514853024,13.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.304099475509442,0.2462556887110871
1382,2016-03,Sanaag,2016,3,2.583710935015762,0.0682805154262743,43,2.1966339791356955,0.0585134678616315,42.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.188758595928302,0.30187040720796177
1382,2016-03,Sool,2016,3,2.55882948547075,0.144152664338084,43,2.065412670848972,0.1348152301317519,42.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,230,22.247009320205844,0.1797994482056966
1382,2016-03,Togdheer,2016,3,2.4098128728361834,0.0288896045360193,44,1.9594913810516383,0.0239066790166647,43.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.83001424826246,0.22097563915487162
1382,2016-03,Woqooyi_Galbeed,2016,3,2.156293290460858,0.006753635400471,47,1.7584827154578,-0.0171614665409156,46.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,March,2016-03,92,13,46,17,0,18,0,10,0,5,0,18,28,20,31,20,65,121,504,99.38626881429339,0.050308760552654104
1383,2016-04,Awdal,2016,4,1.7688751032505474,0.6333691138833247,94,1.8262466054729949,0.0165922350213814,93.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,April,2016-04,85,0,30,0,7,17,0,18,0,0,7,0,0,5,0,0,0,0,169,141.66653044943396,0.021176490950138793
1383,2016-04,Bakool,2016,4,1.7732799532212058,0.1136983704859193,94,1.8941864752136928,-0.0468636542320154,93.0,9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,April,2016-04,0,884,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,921,103.52974568893711,0.08693153779244446
1383,2016-04,Banadir,2016,4,1.4158772600106124,0.1634195574208211,15,1.3777903769751034,0.1049607971813479,14.0,42.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,April,2016-04,0,0,658,0,123,0,0,25,0,13990,0,0,6,0,0,0,0,0,14802,6288.475824919914,0.006678883909128312
