,time,Previous (Departure) Region,Banadir,level_0,index,admin1,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,conflicts,inv_distance,log_disp,x
94,2020-06,Bay,0,958,1433,Bay,2020,6,0.84795389598592,-0.1392594483231461,24,0.4217591011832453,0.8382062684048343,1.2069646366504392,0.9914644808183518,1.0957516522394135,0.7667864053208924,0.1705976075176359,-0.0152281922431872,0.4093012652213402,0.7547038262947035,1.2227129810919295,1.40670274409824,23.0,22.0,21.0,20.0,19.0,18.0,14,0.0048678032659052834,-inf,1.9861723871365716e-05
95,2020-06,Galgaduud,0,959,1433,Galgaduud,2020,6,-0.0925600925200876,0.1307951821822435,0,-0.1439684303556203,-0.0267370938406489,0.3008867291198523,0.2431583536550208,0.2069027494377533,0.1213393290141788,0.1161804650243324,0.2305549447788159,0.1787644719596218,0.2076155167797595,0.2345477880042063,0.1107831436936235,0.0,0.0,4.0,3.0,2.0,1.0,10,0.003565472503646411,-inf,-3.398978233952389e-07
96,2020-06,Gedo,0,960,1433,Gedo,2020,6,0.8877314286444682,-0.2360989972817439,24,0.4424544657545545,0.7874769702034209,1.1248477526573024,0.9855295666796748,1.1191833120691883,0.8421812204224705,0.1538960301198602,-0.0114068804753864,0.5036166029485334,0.915188224117944,1.627922130450815,1.804372778553542,23.0,22.0,21.0,20.0,19.0,18.0,10,0.002616749249414958,-inf,5.392151405831086e-06
97,2020-06,Hiraan,0,961,1433,Hiraan,2020,6,0.2120930698233256,0.1105416602303258,17,0.0208817452593342,0.298554074568608,0.6028805149717118,0.4064624184293792,0.3867097017618971,0.1605098414939922,0.1089296306275935,0.1616541420962532,0.1665632380660331,0.2580985978051617,0.3685799608196031,0.3024959276028192,16.0,15.0,14.0,13.0,12.0,11.0,31,0.006016509264782172,-inf,1.0807174956347778e-05
98,2020-06,Lower Juba,0,962,1433,Lower Juba,2020,6,1.109739842462576,-0.3583067734010375,144,0.6311091519516575,0.8700896444265447,1.2151586751301338,1.1036526085932117,1.2753155107461849,1.1400981780592945,0.0108171083730369,0.8567822486093688,0.9394422557821864,1.1133270426940525,1.326709231889707,0.7314123219048595,143.0,142.0,141.0,140.0,139.0,138.0,21,0.0023353638652866275,-inf,4.745403127383011e-06
99,2020-06,Lower Shabelle,0,963,1433,Lower Shabelle,2020,6,0.804853144226116,0.0411989833860188,22,0.4098700579028002,0.8339844726295664,1.1951183678890795,0.9109204970328044,0.991222377932367,0.6587868443993922,0.1522336980148802,0.1201154138652622,0.201488211122693,0.3360359196500412,0.4360472747604675,0.4627965251536148,21.0,20.0,19.0,18.0,17.0,16.0,43,0.008508246593928818,-inf,6.037235289560211e-05
100,2020-06,Middle Juba,0,964,1433,Middle Juba,2020,6,1.0809757244542648,-0.0499341625839439,144,0.6027048691361032,0.9283045422944682,1.2978791304405757,1.150025828580769,1.3081830976798208,1.0846967739218951,0.1700823531307599,0.2454425491993794,0.433866935818887,0.609358725725575,0.8071185072767121,0.8170631983999681,143.0,142.0,141.0,140.0,139.0,138.0,2,0.0031030528715675202,-inf,8.938586069438861e-06
101,2020-06,Middle Shabelle,0,965,1433,Middle Shabelle,2020,6,0.2340082434177942,0.1315503268166041,17,0.054107249256939,0.3475239749259176,0.5744837060692436,0.3072158360700135,0.2723270029839358,0.0392024139346331,0.1191719012981683,0.1604904314189245,0.1275279286925687,0.1777708987015868,0.1791411821595466,0.1070071270260876,16.0,15.0,14.0,13.0,12.0,11.0,20,0.009785907225679898,-inf,3.328027906412246e-05
102,2020-06,Mudug,22,966,1433,Mudug,2020,6,-0.1914576645256185,0.0819431363861612,0,-0.1872679043976454,-0.1586285044702363,0.1912111320622943,0.196851894583196,0.1662497263937417,0.1476666979804699,0.1254141935297253,0.206812766290127,0.1851848641184435,0.1842036176883258,0.1345613667310362,0.0632129805140632,0.0,0.0,4.0,3.0,2.0,1.0,8,0.002220736057353776,3.0910424533583156,-7.823032203398497e-07
103,2020-06,Nugaal,0,967,1433,Nugaal,2020,6,-0.160770767870327,0.0693517405097075,0,-0.1533177919110476,-0.1894030675026146,0.2778375357853881,0.3364122500469239,0.3378957095723301,0.3880588172182331,0.1513611822568351,0.2327581681835263,0.2185670737517008,0.2094031618567795,0.1139399752578671,0.0455698636885864,0.0,0.0,4.0,3.0,2.0,1.0,1,0.0016594524274810532,-inf,-5.215748260429673e-07
104,2020-06,Sanaag,0,968,1433,Sanaag,2020,6,0.0357758852633507,0.0720599053750126,2,0.0257678092820105,-0.0182659860979655,0.5433562498785451,0.7187136933036445,0.809018532258687,0.9634005740189236,0.1223724369518897,0.1171255351652517,0.0682805278398302,0.0585135955062028,0.052559376182004,0.0556622316736382,1.0,0.0,14.0,13.0,12.0,11.0,6,0.0014701577646401877,-inf,-3.947944209029803e-08
