,time,Previous (Departure) Region,index,year,month,TA,PA,DL,TA_lag1,TA_lag2,TA_lag3,TA_lag4,TA_lag5,TA_lag6,PA_lag1,PA_lag2,PA_lag3,PA_lag4,PA_lag5,PA_lag6,DL_lag1,DL_lag2,DL_lag3,DL_lag4,DL_lag5,DL_lag6,population_density_origin,conflicts,inv_distance,x,x_dist,Current (Arrival) Region,Displacements,Disp_log,inv_distance_2,population_density_destination,gdp_mean_destination,accessibility_to_cities_mean_destination,gdp_mean_origin,accessibility_to_cities_mean_origin
1296,2022-05,Bay,1456,2022,5,0.6458948872407088,0.6730148531796881,0.27011494252873564,0.5857247108022821,0.578208953720962,0.7411905355846228,0.73555556798817,0.6898124919372288,0.7471009345878976,0.7005454919484839,0.24605008274996065,0.0,0.49223505577509163,0.4914145317067288,0.41306022003818965,0.2658959537572254,0.2616279069767442,0.2573099415204678,0.24852071005917156,0.2485207100591716,0.24404761904761904,0.012575922497497222,0.22988505747126436,0.5219922937072902,0.10109904939080809,0.1524505191184868,Gedo,0.0008260093834665961,0.2422743806966638,0.32362097161156045,0.009119184547300964,7.336890567557195e-05,0.4856230439121156,0.0020614012950123314,0.34916083247120594
1310,2022-06,Bakool,1457,2022,6,0.5071310460825322,0.7770360286518923,0.07471264367816091,0.615599227902759,0.6483682399991219,0.6712890602094169,0.7428489115224791,0.6834320106028604,0.6629845872424784,0.808812073878761,0.7919819223938183,0.19936076612559878,0.047892459012303545,0.5461445921076026,0.5226766631905854,0.06936416184971098,0.06395348837209303,0.05847953216374269,0.047337278106508875,0.047337278106508875,0.041666666666666664,0.013277526312589721,0.034482758620689655,0.3445114312886697,0.0080223890370257,0.016632321086517785,Gedo,0.00013216150135465538,0.09190512145158188,0.1649766250740075,0.009119184547300964,7.336890567557195e-05,0.4856230439121156,0.0005430833508411896,0.4013044271783965
1327,2022-07,Bakool,1458,2022,7,0.4558740738669983,0.6488617686398988,0.08045977011494253,0.5279830812981043,0.6815824239868645,0.6382235354480241,0.6523189488780775,0.7601558039581628,0.7345456690135829,0.8963885826305464,0.8910309405612861,0.7770121944224301,0.21897910138778506,0.09851356178010343,0.5461445921076026,0.07514450867052022,0.06976744186046512,0.06432748538011696,0.05325443786982248,0.05325443786982249,0.047619047619047616,0.013277526312589721,0.12643678160919541,0.3445114312886697,0.029415426469094237,0.06098517731723188,Gedo,0.16017973964184232,0.8014007836019255,0.1649766250740075,0.009119184547300964,7.336890567557195e-05,0.4856230439121156,0.0005430833508411896,0.4013044271783965
1344,2022-08,Bakool,1459,2022,8,0.36335234996922827,0.21367190126583738,0.08620689655172414,0.47433062038468893,0.584575113261936,0.6723959607603291,0.6173451922630312,0.6757187275425126,0.7820100884466463,0.7518887398472753,0.9999999999999999,0.8831891356765019,0.7824761404097264,0.26050396855923336,0.09851356178010343,0.08092485549132948,0.0755813953488372,0.07017543859649122,0.05917159763313609,0.05917159763313609,0.05357142857142857,0.013277526312589721,0.12643678160919541,0.3445114312886697,0.029415426469094237,0.06098517731723188,Gedo,0.12459525540210135,0.7741698312685587,0.1649766250740075,0.009119184547300964,7.336890567557195e-05,0.4856230439121156,0.0005430833508411896,0.4013044271783965
1364,2022-09,Bay,1460,2022,9,0.2369006989176961,0.11786647576835929,0.29310344827586204,0.4463652568035341,0.5997884349812327,0.6210259102455326,0.7229296420484717,0.6432384084476773,0.6655401372874569,0.2525954902362803,0.7880491741914017,0.9819699142930327,0.8474157493621796,0.7587302671658418,0.2535142657126001,0.2890173410404624,0.28488372093023256,0.2807017543859649,0.27218934911242604,0.27218934911242604,0.26785714285714285,0.012575922497497222,0.4367816091954023,0.5219922937072902,0.19208819384253534,0.28965598632512496,Gedo,0.00016520187669331922,0.10638907028528642,0.32362097161156045,0.009119184547300964,7.336890567557195e-05,0.4856230439121156,0.0020614012950123314,0.34916083247120594
1395,2022-11,Bakool,1462,2022,11,0.29250230477754596,0.0,0.10344827586206896,0.2264523263776701,0.18969772870598342,0.40115326441900057,0.4832797337607223,0.5783496778265103,0.7304494675956098,0.10158759893077066,0.08698599385634376,0.1528674783899288,0.8119866140119406,1.0,0.8921097456361431,0.09826589595375722,0.09302325581395349,0.08771929824561403,0.07692307692307691,0.07692307692307693,0.07142857142857142,0.013277526312589721,0.10344827586206896,0.3445114312886697,0.024067167111077103,0.049896963259553354,Gedo,0.00013216150135465538,0.09190512145158188,0.1649766250740075,0.009119184547300964,7.336890567557195e-05,0.4856230439121156,0.0005430833508411896,0.4013044271783965
1412,2022-12,Bakool,1463,2022,12,0.36727732149880404,0.2502553086702081,0.10919540229885058,0.3033236904675338,0.25072468991845076,0.16632021258132826,0.36659344948975575,0.5180562619103309,0.6695375183502824,0.02038130966771065,0.01105083007818311,0.02128222684089559,0.17362505448325172,0.8219828009174138,1.0,0.10404624277456646,0.09883720930232558,0.0935672514619883,0.08284023668639053,0.08284023668639053,0.07738095238095238,0.013277526312589721,0.06896551724137931,0.3445114312886697,0.0160447780740514,0.03326464217303557,Gedo,6.608075067732769e-05,0.05540848524194204,0.1649766250740075,0.009119184547300964,7.336890567557195e-05,0.4856230439121156,0.0005430833508411896,0.4013044271783965
1641,2022-01,Middle Juba,1452,2022,1,0.6923597503610575,0.36349185268092954,0.9367816091954023,0.7241881035867791,0.8997710121059236,0.7557728235682085,0.7268496919801932,0.7588491987614552,0.7363119446977568,0.4357195391719936,0.43111862964186237,0.25831538181789526,0.13085802735718258,0.16721659084350182,0.23713803081040022,0.9364161849710982,0.936046511627907,0.935672514619883,0.9349112426035503,0.9349112426035503,0.9345238095238094,0.0064658920623916795,0.011494252873563218,0.7961537273102536,0.010210049722048364,0.010833138666004315,Lower Juba,0.0030727549064957374,0.3759231481127048,0.6671270226347744,0.017451231168640724,0.00038688129210741134,0.5042529502729376,0.0010922933426905147,0.6390049915622525
1653,2022-02,Bay,1453,2022,2,0.6485311858054588,0.11201123853367365,0.25287356321839083,0.683711131145998,0.6943922401379804,0.6996798755297926,0.555318769896111,0.5962937075184376,0.6918937716684949,0.5061400148183828,0.48632913648332965,0.36453071310812785,0.21650792207065842,0.0,0.04764618252300698,0.24855491329479767,0.2441860465116279,0.23976608187134502,0.23076923076923075,0.23076923076923075,0.22619047619047616,0.012575922497497222,0.29885057471264365,0.27232190500914266,0.049940360279451285,0.12216671138600113,Lower Juba,0.008227053459327296,0.48060401786133666,0.11477793822746929,0.017451231168640724,0.00038688129210741134,0.5042529502729376,0.0020614012950123314,0.34916083247120594
1658,2022-02,Middle Juba,1453,2022,2,0.6616378114128143,0.1939432038926465,0.9425287356321839,0.7218684277551151,0.8018104323274041,0.8968793692417001,0.7416783223934031,0.7452333707258731,0.7812017700048983,0.4301711969701964,0.4268020831877818,0.3901798830663155,0.27648913209477183,0.1770680647982461,0.16721659084350182,0.9421965317919074,0.9418604651162791,0.9415204678362572,0.9408284023668638,0.9408284023668639,0.9404761904761905,0.0064658920623916795,0.011494252873563218,0.7961537273102536,0.010210049722048364,0.010833138666004315,Lower Juba,0.005649904182911517,0.44043013145455046,0.6671270226347744,0.017451231168640724,0.00038688129210741134,0.5042529502729376,0.0010922933426905147,0.6390049915622525
1675,2022-03,Middle Juba,1454,2022,3,0.48870657096585324,0.21530701814004138,0.9482758620689655,0.689710702525582,0.7992421213150663,0.7960925910006047,0.8909282139583099,0.759063998318837,0.7727784720350428,0.2390271007083534,0.41989843242810665,0.38555270242631684,0.40512251265209903,0.31495633923384847,0.1770680647982461,0.9479768786127167,0.9476744186046512,0.9473684210526315,0.9467455621301775,0.9467455621301775,0.9464285714285714,0.0064658920623916795,0.0,0.7961537273102536,0.0,0.0,Lower Juba,0.00016520187669331922,0.10638907028528642,0.6671270226347744,0.017451231168640724,0.00038688129210741134,0.5042529502729376,0.0010922933426905147,0.6390049915622525
1692,2022-04,Middle Juba,1455,2022,4,0.6235778355917965,0.4276545878230356,0.9540229885057471,0.5086975404571212,0.7636375602331429,0.7934501832786426,0.7843249685038669,0.8982690099081448,0.7813346536364256,0.26311202852233656,0.18206305072831575,0.3781522401631845,0.4006087133919697,0.43675061465205767,0.31495633923384847,0.9537572254335259,0.9534883720930233,0.9532163742690059,0.9526627218934911,0.9526627218934911,0.9523809523809523,0.0064658920623916795,0.0,0.7961537273102536,0.0,0.0,Lower Juba,0.0006608075067732769,0.220937511658427,0.6671270226347744,0.017451231168640724,0.00038688129210741134,0.5042529502729376,0.0010922933426905147,0.6390049915622525
1709,2022-05,Middle Juba,1456,2022,5,0.7339777089811038,0.45183472523325013,0.9597701149425287,0.6498719981144805,0.5632224456845633,0.7568184176209812,0.7815300658004467,0.7988404216301427,0.8674524636182848,0.5025063533402152,0.21203126900906047,0.12320137019915928,0.393389587170878,0.43247680245891784,0.43675061465205767,0.9595375722543352,0.9593023255813954,0.9590643274853801,0.9585798816568046,0.9585798816568047,0.9583333333333333,0.0064658920623916795,0.0,0.7961537273102536,0.0,0.0,Lower Juba,0.0006277671314346131,0.21611589599195707,0.6671270226347744,0.017451231168640724,0.00038688129210741134,0.5042529502729376,0.0010922933426905147,0.6390049915622525
1723,2022-06,Gedo,1457,2022,6,0.6110462614634055,1.0,0.27586206896551724,0.7424899316582645,0.6761947932588487,0.6113982417652627,0.7393062250747869,0.7762740295272037,0.7782006071337982,1.0,0.9918036830178995,0.2135341688696221,0.0,0.5978029718803013,0.5405828960948272,0.27167630057803466,0.26744186046511625,0.2631578947368421,0.25443786982248523,0.2544378698224852,0.25,0.009119184547300964,0.12643678160919541,0.3643038539877439,0.031926380405694926,0.06353478407082962,Lower Juba,0.00013216150135465538,0.09190512145158188,0.1801871285429642,0.017451231168640724,0.00038688129210741134,0.5042529502729376,0.00027788660004488225,0.4820113397912244
