admin1,Awdal,Bakool,Banadir,Bari,Bay,Galgaduud,Gedo,Hiraan,Lower_Juba,Lower_Shabelle,Middle_Juba,Middle_Shabelle,Mudug,Nugaal,Sanaag,Sool,Togdheer,Woqooyi_Galbeed,yr_mth
Bay,0.0,0.002452316076294278,0.0010899182561307902,0.0,0.008174386920980926,0.0,0.0,0.0018165304268846503,0.0,0.0,0.0,0.0,0.00045413260672116256,0.0,0.0,0.0,0.0,0.0,2016-05
Galgaduud,0.0,0.0,0.0,0.0,0.0,0.0036330608537693005,0.0,0.0,0.0,0.0,0.0,0.0,0.014986376021798364,0.0,0.0,0.0,0.0,0.0,2016-05
Gedo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05
Hiraan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05
Lower_Juba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013169845594913715,0.0,0.00036330608537693006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05
Lower_Shabelle,0.0,0.0,0.014259763851044506,0.0,0.0,0.0,0.0,0.0,0.0,0.1005449591280654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05
Middle_Juba,0.0,0.02997275204359673,0.0,0.0,0.007084468664850136,0.0,0.0,0.0,0.0,0.0,0.14041780199818346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05
Middle_Shabelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05
Mudug,0.0,0.0,0.003723887375113533,0.0016348773841961854,0.0,0.0023614895549500456,0.0,0.0064486830154405084,0.0,0.00036330608537693006,0.0,0.00045413260672116256,0.002997275204359673,0.012897366030881017,0.0,0.0,0.0,0.0,2016-05
Nugaal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05
Sanaag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05
Sool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007266121707538601,0.04732061762034514,0.0,0.0,2016-05
Togdheer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05
Woqooyi_Galbeed,0.0,0.0,0.005994550408719346,0.0025431425976385103,0.00045413260672116256,0.002815622161671208,0.00027247956403269756,0.002452316076294278,0.0009082652134423251,0.0009082652134423251,0.00045413260672116256,0.0017257039055404177,0.0036330608537693005,0.0017257039055404177,0.0023614895549500456,0.0016348773841961854,0.0,0.00045413260672116256,2016-05
Awdal,0.0,0.0,0.026165556612749764,0.0,0.0,0.006660323501427212,0.0,0.005708848715509039,0.0,0.0,0.0,0.0,0.0,0.004757373929590866,0.0,0.0,0.0,0.0,2016-06
Bakool,0.0,0.2987630827783064,0.0,0.0,0.0,0.0,0.0,0.04804947668886775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-06
