time,admin1,spei
1902-12-16,Bari,0.20611423
1902-12-16,Bay,-0.17445779
1902-12-16,Galgaduud,0.4140827
1902-12-16,Gedo,-0.18245128
1902-12-16,Hiraan,0.36747712
1902-12-16,Lower Juba,-1.1631281
1902-12-16,Lower Shabelle,-0.22603762
1902-12-16,Middle Juba,-1.0023073
1902-12-16,Middle Shabelle,0.4025661
1902-12-16,Mudug,0.46925896
1902-12-16,Nugaal,0.18608662
1902-12-16,Sanaag,0.12197271
1902-12-16,Sool,0.06425956
1902-12-16,Togdheer,0.1769802
1902-12-16,Woqooyi Galbeed,0.17431939
1903-01-16,Awdal,-0.26990956
1903-01-16,Bakool,-0.85459054
1903-01-16,Bari,0.12261379
1903-01-16,Bay,-0.7084711
1903-01-16,Galgaduud,-0.2304853
1903-01-16,Gedo,-0.8320882
1903-01-16,Hiraan,-0.53403157
1903-01-16,Lower Juba,-0.23798516
1903-01-16,Lower Shabelle,-0.21410522
1903-01-16,Middle Juba,-0.22290115
1903-01-16,Middle Shabelle,0.49479786
1903-01-16,Mudug,0.030086093
1903-01-16,Nugaal,0.14161733
1903-01-16,Sanaag,-0.5611026
1903-01-16,Sool,-0.6616307
1903-01-16,Togdheer,-1.1623565
1903-01-16,Woqooyi Galbeed,-1.1520462
1903-02-15,Awdal,-1.126528
1903-02-15,Bakool,-0.30373383
1903-02-15,Bari,0.15815936
1903-02-15,Bay,-0.175876
1903-02-15,Galgaduud,-0.06628054
1903-02-15,Gedo,-0.6442078
1903-02-15,Hiraan,-0.07009183
1903-02-15,Lower Juba,-0.09699564
1903-02-15,Lower Shabelle,-0.20871231
1903-02-15,Middle Juba,-0.19587341
1903-02-15,Middle Shabelle,0.24162766
1903-02-15,Mudug,0.030164635
1903-02-15,Nugaal,0.1846896
1903-02-15,Sanaag,-0.05076415
1903-02-15,Sool,-0.042057555
1903-02-15,Togdheer,-0.36480236
1903-02-15,Woqooyi Galbeed,-0.79926395
1903-03-16,Awdal,-0.9244641
1903-03-16,Bakool,0.26896662
1903-03-16,Bari,0.14733875
1903-03-16,Bay,0.0023100802
1903-03-16,Galgaduud,0.22642146
1903-03-16,Gedo,0.19134165
1903-03-16,Hiraan,0.3321722
1903-03-16,Lower Juba,-0.77275735
1903-03-16,Lower Shabelle,0.09021188
1903-03-16,Middle Juba,-0.55487573
1903-03-16,Middle Shabelle,0.44388437
1903-03-16,Mudug,0.36829975
1903-03-16,Nugaal,0.3855082
1903-03-16,Sanaag,0.07440457
1903-03-16,Sool,0.18416542
1903-03-16,Togdheer,-0.28064936
1903-03-16,Woqooyi Galbeed,-0.60888374
1903-04-16,Awdal,-1.2646079
1903-04-16,Bakool,0.2809102
1903-04-16,Bari,0.27030858
1903-04-16,Bay,0.25011498
1903-04-16,Galgaduud,0.30464184
1903-04-16,Gedo,0.24739309
1903-04-16,Hiraan,0.25711024
1903-04-16,Lower Juba,0.1667077
1903-04-16,Lower Shabelle,0.20122394
1903-04-16,Middle Juba,0.19078803
1903-04-16,Middle Shabelle,0.25558618
1903-04-16,Mudug,0.3556605
1903-04-16,Nugaal,0.40571648
1903-04-16,Sanaag,0.088876836
1903-04-16,Sool,0.2079817
1903-04-16,Togdheer,-0.030924898
1903-04-16,Woqooyi Galbeed,-0.79686534
1903-05-16,Awdal,-0.586732
1903-05-16,Bakool,0.44414228
1903-05-16,Bari,0.23053987
1903-05-16,Bay,-0.022604015
1903-05-16,Galgaduud,0.369892
1903-05-16,Gedo,0.10158289
1903-05-16,Hiraan,0.37721434
1903-05-16,Lower Juba,-1.1218231
1903-05-16,Lower Shabelle,-0.22870211
1903-05-16,Middle Juba,-1.1076736
1903-05-16,Middle Shabelle,0.37086105
1903-05-16,Mudug,0.27175376
1903-05-16,Nugaal,0.28875273
1903-05-16,Sanaag,0.2719226
1903-05-16,Sool,0.2649748
1903-05-16,Togdheer,0.08146109
1903-05-16,Woqooyi Galbeed,-0.21395597
1903-06-16,Awdal,-1.2791743
1903-06-16,Bakool,0.31982875
1903-06-16,Bari,0.22087683
1903-06-16,Bay,-0.107993044
1903-06-16,Galgaduud,0.4846675
1903-06-16,Gedo,-0.24920702
1903-06-16,Hiraan,0.5009315
1903-06-16,Lower Juba,-1.7755249
1903-06-16,Lower Shabelle,-0.46451387
1903-06-16,Middle Juba,-1.8781828
