Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+population_type,,,,#affected+f+infants+age_0_4,#affected+f+children+age_5_11,#affected+f+adolescents+age_12_17,#affected+f+adults+age_18_59,#affected+f+elderly+age_60,#affected+f+unknown_age,#affected+f+total,#affected+m+infants+age_0_4,#affected+m+children+age_5_11,#affected+m+adolescents+age_12_17,#affected+m+adults+age_18_59,#affected+m+elderly+age_60,#affected+m+unknown_age,#affected+m+total,#affected+all+total
2017,ERI,DJI,Eritrea,Djibouti,ASY,Ali-Addeh : Point,R,P,5,10,0,33,0,0,48,5,5,5,93,0,0,108,156
2017,ERI,DJI,Eritrea,Djibouti,ASY,Djibouti : Point,U,I,8,20,14,65,5,0,112,12,20,21,144,5,0,202,314
2017,ERI,DJI,Eritrea,Djibouti,ASY,Hol-Hol : Point,R,P,0,6,7,32,0,0,45,5,7,7,253,0,0,272,317
2017,ERI,DJI,Eritrea,Djibouti,REF,Ali-Addeh : Point,R,P,7,5,5,38,0,0,55,16,7,6,211,0,0,240,295
2017,ERI,DJI,Eritrea,Djibouti,REF,Djibouti : Point,U,I,0,6,0,7,0,0,13,0,5,0,38,0,0,43,56
2017,ERI,DJI,Eritrea,Djibouti,REF,Hol-Hol : Point,R,P,0,0,0,5,0,0,5,0,0,0,20,0,0,20,25
2017,ERI,DJI,Eritrea,Djibouti,REF,Obock : Pont,R,P,0,5,7,0,0,0,12,5,6,7,0,0,0,18,30
2017,ERI,ECU,Eritrea,Ecuador,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,11,0,0,11,11
2017,ERI,ERI,Eritrea,Eritrea,OOC,Gash Barka : Zoba - Region,V,I,0,0,5,14,0,0,19,0,0,0,0,0,0,0,19
2017,ERI,ERI,Eritrea,Eritrea,RET,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468
2017,ERI,EST,Eritrea,Estonia,REF,Dispersed in the country / territory,V,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2017,ERI,ETH,Eritrea,Ethiopia,ASY,Addis Ababa : Astedader akabibi - Chartered city,U,I,5,18,5,21,9,0,58,6,18,8,14,5,0,51,109
2017,ERI,ETH,Eritrea,Ethiopia,ASY,Berhale : Point,R,P,0,7,16,37,5,0,65,0,10,11,21,0,0,42,107
2017,ERI,ETH,Eritrea,Ethiopia,OOC,Addis Ababa : Astedader akabibi - Chartered city,U,I,0,5,0,23,0,0,28,0,0,0,22,0,0,22,50
2017,ERI,ETH,Eritrea,Ethiopia,REF,Addis Ababa : Astedader akabibi - Chartered city,U,I,686,1328,745,5873,118,0,8750,694,1322,794,4795,205,0,7810,16560
2017,ERI,ETH,Eritrea,Ethiopia,REF,Adiharush : Point,R,P,500,541,528,2256,16,0,3841,464,616,951,3688,46,0,5765,9606
2017,ERI,ETH,Eritrea,Ethiopia,REF,Asaita : Point,R,P,1196,1563,806,2962,224,0,6751,1353,1739,1025,2650,280,0,7047,13798
2017,ERI,ETH,Eritrea,Ethiopia,REF,Berhale : Point,R,P,1175,3639,2295,5212,239,0,12560,1161,3766,2354,2917,345,0,10543,23103
2017,ERI,ETH,Eritrea,Ethiopia,REF,Dispersed in the country / territory,U,U,21,34,24,158,37,0,274,21,29,22,250,27,0,349,623
2017,ERI,ETH,Eritrea,Ethiopia,REF,Dispersed in the country / territory,V,U,384,1150,1214,15090,84,0,17922,514,1183,2551,50768,142,0,55158,73080
2017,ERI,ETH,Eritrea,Ethiopia,REF,Hitsats,R,P,502,544,471,2254,15,0,3786,508,642,1378,4000,33,0,6561,10347
2017,ERI,ETH,Eritrea,Ethiopia,REF,Mai-Ayni : Point,R,P,704,825,550,2636,29,0,4744,747,881,1092,4002,92,0,6814,11558
2017,ERI,ETH,Eritrea,Ethiopia,REF,Shimelba (Shire/Shiraro) : Point,R,P,396,459,314,1178,183,0,2530,385,502,429,1908,176,0,3400,5930
2017,ERI,FIN,Eritrea,Finland,ASY,Dispersed in the country / territory,U,I,0,0,0,0,0,51,51,0,0,0,0,0,225,225,276
2017,ERI,FIN,Eritrea,Finland,REF,Dispersed in the country / territory,U,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564
2017,ERI,FRA,Eritrea,France,ASY,Dispersed in the country / territory,U,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840
