time,admin1,conflicts,TA,PA,DL
2009-04-16,Nugaal,2.0,1.0420218819546456,0.4481906813318841,2
2009-05-16,Nugaal,2.0,0.9013693920302432,1.0716524075395446,3
2009-06-16,Nugaal,6.0,0.1940786883765156,0.344625199743555,4
2009-07-16,Nugaal,4.0,-0.4895877117555519,-0.2641482566491383,0
2009-08-16,Nugaal,1.0,-0.6972013588966322,-0.6787737386496419,0
2009-09-16,Nugaal,0.0,0.0416299462007901,0.0448186651151492,1
2009-10-16,Nugaal,0.0,0.1615636095960912,0.6570161280236516,2
2009-11-16,Nugaal,0.0,-0.164183102897573,0.6752074505014636,0
2009-12-16,Nugaal,0.0,-0.8693269530852238,0.0036774154163387,0
1997-06-16,Sanaag,0.0,0.8357450696956379,0.2333478147871732,1
1997-07-16,Sanaag,0.0,0.953962449161308,-0.3589962864239973,2
1997-08-16,Sanaag,0.0,0.5685530074664263,-0.3178672345353168,3
1997-09-16,Sanaag,0.0,0.6958978764232314,0.4235360089220163,4
1997-10-16,Sanaag,0.0,-0.068827994436715,0.9730057683076716,0
1997-11-16,Sanaag,0.0,-0.3352194156388291,0.3300861121090229,0
1997-12-16,Sanaag,0.0,-1.0220338545695382,-0.2906663041884739,0
1998-01-16,Sanaag,0.0,-0.7153459323035151,-0.8058008898409489,0
1998-02-15,Sanaag,0.0,-0.0678946178218011,-0.05556609894859,0
1998-03-16,Sanaag,0.0,0.6178461739373738,0.5744408630008908,1
1998-04-16,Sanaag,0.0,0.974539814245109,1.1325729251230638,2
1998-05-16,Sanaag,0.0,0.9828224923699808,0.9906241318200704,3
1998-06-16,Sanaag,0.0,0.9269745097544292,0.2415320153456645,4
1998-07-16,Sanaag,0.0,0.3069299051578295,-0.3517542670770554,5
1998-08-16,Sanaag,0.0,-0.2807670149887498,-0.3174868444520146,0
1998-09-16,Sanaag,0.0,-0.1677169808051007,0.4187079850988562,0
1998-10-16,Sanaag,0.0,-0.1955755040797443,0.977789081614552,0
1998-11-16,Sanaag,0.0,-0.2985215136155569,0.3386946772402148,0
1998-12-16,Sanaag,0.0,-1.0044972116087882,-0.275055239058698,0
