time,region,PRECTOTCORR,T2M_MAX
199807.0,Woqooyi Galbeed,0.274,36.821003
199808.0,Awdal,0.89,38.864998
199808.0,Bakool,0.15625,35.81375
199808.0,Bari,0.5083333,35.648335
199808.0,Bay,0.31785712,35.54786
199808.0,Galgaduud,0.12470587,35.736473
199808.0,Gedo,0.18285714,35.561428
199808.0,Hiraan,0.16454545,36.545456
199808.0,Lower Juba,0.2164706,33.517647
199808.0,Lower Shabelle,0.244,33.394997
199808.0,Middle Juba,0.23400001,34.728
199808.0,Middle Shabelle,0.222,32.177998
199808.0,Mudug,0.09352941,35.60706
199808.0,Nugaal,0.134,35.026
199808.0,Sanaag,0.46444443,34.379997
199808.0,Sool,0.26083332,35.128338
199808.0,Togdheer,0.261,34.649
199808.0,Woqooyi Galbeed,0.596,36.092
199809.0,Awdal,1.2975,38.934998
199809.0,Bakool,0.31625003,36.6075
199809.0,Bari,0.4179167,37.501667
199809.0,Bay,0.4642857,36.899284
199809.0,Galgaduud,0.07647059,36.45294
199809.0,Gedo,0.20714286,36.864998
199809.0,Hiraan,0.08,37.496365
199809.0,Lower Juba,0.08529412,34.84
199809.0,Lower Shabelle,0.163,35.231003
199809.0,Middle Juba,0.082,36.092
199809.0,Middle Shabelle,0.0,33.564003
199809.0,Mudug,0.11647059,36.652943
199809.0,Nugaal,0.277,36.659
199809.0,Sanaag,0.69666666,35.574448
199809.0,Sool,0.70583326,36.695835
199809.0,Togdheer,0.811,35.717003
199809.0,Woqooyi Galbeed,1.173,36.354
199810.0,Awdal,1.1324999,36.8425
199810.0,Bakool,1.4100001,36.64875
199810.0,Bari,0.6429167,35.799168
199810.0,Bay,0.7942858,37.170002
199810.0,Galgaduud,0.84411764,37.332355
199810.0,Gedo,0.28285715,37.387142
199810.0,Hiraan,1.0845455,38.11
199810.0,Lower Juba,0.3129412,35.872944
199810.0,Lower Shabelle,0.629,35.398
199810.0,Middle Juba,0.17,36.844
199810.0,Middle Shabelle,0.734,34.204
199810.0,Mudug,0.99117637,36.76647
199810.0,Nugaal,1.1299999,35.625
199810.0,Sanaag,0.89666677,33.895
199810.0,Sool,1.245,35.493332
199810.0,Togdheer,1.2370001,35.045
199810.0,Woqooyi Galbeed,1.12,34.984997
199811.0,Awdal,0.19,32.3975
199811.0,Bakool,0.96374995,35.2075
199811.0,Bari,0.0075,32.26875
199811.0,Bay,1.0157144,37.451424
199811.0,Galgaduud,0.2717647,35.23706
199811.0,Gedo,1.1107142,37.715
199811.0,Hiraan,0.47272727,36.344547
199811.0,Lower Juba,1.377647,36.848236
199811.0,Lower Shabelle,0.661,36.537
199811.0,Middle Juba,1.034,37.874
199811.0,Middle Shabelle,0.304,34.392
199811.0,Mudug,0.21882354,34.73941
199811.0,Nugaal,0.059000004,34.178
199811.0,Sanaag,0.049999997,31.651669
199811.0,Sool,0.04083333,34.135834
199811.0,Togdheer,0.078,33.025
199811.0,Woqooyi Galbeed,0.123,32.271
199812.0,Awdal,0.0275,30.93
199812.0,Bakool,0.05375,36.717503
199812.0,Bari,0.0029166667,31.001251
199812.0,Bay,0.08642857,38.09714
199812.0,Galgaduud,0.0,35.65
199812.0,Gedo,0.19285715,38.282143
199812.0,Hiraan,0.009090909,37.193638
199812.0,Lower Juba,0.6752941,37.37706
199812.0,Lower Shabelle,0.073,37.122
199812.0,Middle Juba,0.20199999,38.441998
199812.0,Middle Shabelle,0.0,34.778
199812.0,Mudug,0.0017647059,34.464706
199812.0,Nugaal,0.006,32.918
199812.0,Sanaag,0.0055555557,30.713888
199812.0,Sool,0.0,32.968334
199812.0,Togdheer,0.0,32.323
199812.0,Woqooyi Galbeed,0.006,31.058002
199813.0,Awdal,0.7125,41.1575
199813.0,Bakool,0.85625,39.823753
199813.0,Bari,0.17875,39.368336
199813.0,Bay,1.1257143,40.59714
199813.0,Galgaduud,0.40235296,38.698235
199813.0,Gedo,1.005,40.44643
199813.0,Hiraan,0.5254545,40.258183
199813.0,Lower Juba,1.4494117,37.867058
199813.0,Lower Shabelle,0.81899995,39.042004
199813.0,Middle Juba,1.1359999,40.164
199813.0,Middle Shabelle,0.60599995,36.16
199813.0,Mudug,0.29588237,38.60294
199813.0,Nugaal,0.204,39.045998
199813.0,Sanaag,0.27222222,37.612778
199813.0,Sool,0.3325,38.484165
199813.0,Togdheer,0.47100002,37.481
199813.0,Woqooyi Galbeed,0.578,38.622
199901.0,Awdal,0.265,30.84
199901.0,Bakool,0.005,37.01375
199901.0,Bari,0.00125,31.490417
199901.0,Bay,0.0071428567,38.795715
199901.0,Galgaduud,0.0,35.61
199901.0,Gedo,0.0007142857,38.955715
199901.0,Hiraan,0.0,37.695457
199901.0,Lower Juba,0.0058823526,38.21
199901.0,Lower Shabelle,0.0009999999,37.497997
199901.0,Middle Juba,0.0,39.135998
199901.0,Middle Shabelle,0.0,34.846
199901.0,Mudug,0.00058823527,34.00294
199901.0,Nugaal,0.0009999999,33.139
199901.0,Sanaag,0.0,31.215555
199901.0,Sool,0.0,33.318333
199901.0,Togdheer,0.0019999999,32.633003
