index,time,admin1,conflicts,TA,PA,DL
1,1997-02-15,Gedo,0.0,,,0
2,1997-03-16,Gedo,0.0,-0.5616953776051474,-0.4110634597996003,0
3,1997-04-16,Gedo,0.0,-1.3695151371166985,0.22622669320500668,0
4,1997-05-16,Gedo,0.0,-1.1988538008226286,0.1394486259205133,0
5,1997-06-16,Gedo,8.0,-1.2348573781560714,-0.3593701520103319,0
6,1997-07-16,Gedo,0.0,-0.3359027662825014,-0.9057701081351631,0
7,1997-08-16,Gedo,0.0,-0.059228543993768694,-0.865271075531064,0
8,1997-09-16,Gedo,0.0,0.4550281543411388,-0.37620769914305346,1
9,1997-10-16,Gedo,0.0,0.09716886319908263,0.5183508149534091,2
10,1997-11-16,Gedo,0.0,-0.5048214408309345,1.838086482714485,0
11,1997-12-16,Gedo,0.0,-0.9157697319855532,2.5208143734506763,0
12,1998-01-16,Gedo,0.0,-0.4831417170250285,2.0039842238125227,0
13,1998-02-15,Gedo,0.0,0.3126627438663702,1.1943801741482882,1
14,1998-03-16,Gedo,2.0,0.6049142752734106,-0.1405191374358293,2
15,1998-04-16,Gedo,0.0,0.5743938154055775,-0.34081103466642615,3
16,1998-05-16,Gedo,0.0,0.07206448155340554,0.23313763376105764,4
17,1998-06-16,Gedo,0.0,0.34554926471119396,0.506396021942725,5
18,1998-07-16,Gedo,0.0,0.2512095436200274,0.5880925400432374,6
19,1998-08-16,Gedo,0.0,0.29804197149510986,-0.2604588844261411,7
20,1998-09-16,Gedo,0.0,-0.24615491059279404,-0.5259387533676485,0
21,1998-10-16,Gedo,0.0,0.19661248756302507,-1.1139189585349916,1
22,1998-11-16,Gedo,0.0,0.1992579501885313,-1.448894574399042,2
23,1998-12-16,Gedo,0.0,0.09648248990784107,-1.3839821185741377,3
24,1999-01-16,Gedo,4.0,-0.4401147012437748,-1.2768645074733163,0
25,1999-02-15,Gedo,0.0,-0.054051050141113686,-1.3624498350680476,0
26,1999-03-16,Gedo,0.0,0.12039689417037468,-0.3883357179653588,1
27,1999-04-16,Gedo,6.0,0.1171941444232023,-0.5769441566841061,2
28,1999-05-16,Gedo,2.0,0.11950278803425295,0.025985607230458174,3
29,1999-06-16,Gedo,2.0,0.22033663765611491,0.31549437602460423,4
30,1999-07-16,Gedo,0.0,-0.20357355866600024,0.8938893479120898,0
31,1999-08-16,Gedo,4.0,-1.2051840272183336,0.8589913002614264,0
32,1999-09-16,Gedo,0.0,-1.4734417001600522,-0.09815727900449361,0
33,1999-10-16,Gedo,0.0,-1.6087275442881974,-0.2575683670320305,0
34,1999-11-16,Gedo,0.0,-1.2469845155890205,-0.41634927855841863,0
35,1999-12-16,Gedo,0.0,-1.3307320782602168,-0.5281911418577986,0
36,2000-01-16,Gedo,0.0,-1.6355572470169815,-0.5956848904126993,0
37,2000-02-15,Gedo,0.0,-1.7126175427240469,-0.4426527898314689,0
38,2000-03-16,Gedo,0.0,-1.499967227495928,-0.2647771304513456,0
39,2000-04-16,Gedo,0.0,-0.4309038286002083,-0.077897394572097,0
40,2000-05-16,Gedo,0.0,-0.18367057654080002,-0.025089166415982026,0
41,2000-06-16,Gedo,0.0,-0.26113586547726414,-0.040117445865538316,0
42,2000-07-16,Gedo,0.0,-0.12870932321391168,0.19723902145049765,0
43,2000-08-16,Gedo,2.0,0.16407046116000232,0.2637003332661149,1
44,2000-09-16,Gedo,0.0,-0.015045583668932272,0.5078366882682038,0
45,2000-10-16,Gedo,0.0,-0.8420209081597351,0.15662515134914423,0
46,2000-11-16,Gedo,0.0,-0.28754502980725055,-0.05678060087884734,0
47,2000-12-16,Gedo,0.0,9.533581708252396e-05,-0.24377162248975406,1
48,2001-01-16,Gedo,2.0,0.5305107561547568,-0.49569912771616975,2
49,2001-02-15,Gedo,0.0,0.1907108036362973,-0.04844433867860539,3
50,2001-03-16,Gedo,2.0,0.2752194785206879,-0.2461674982123019,4
51,2001-04-16,Gedo,0.0,0.08394433694861735,-0.17554237726143793,5
52,2001-05-16,Gedo,0.0,-0.6623358087110859,-0.9542288321131718,0
53,2001-06-16,Gedo,0.0,-1.072189013712135,-0.787672172318068,0
54,2001-07-16,Gedo,2.0,-1.0852601241958075,-0.7777610794793078,0
55,2001-08-16,Gedo,0.0,-0.728106999821784,0.6009758948725787,0
56,2001-09-16,Gedo,0.0,-0.2690765656488499,0.4981666209213431,0
57,2001-10-16,Gedo,0.0,0.1929162598344283,0.3929585826431094,1
58,2001-11-16,Gedo,0.0,0.23593239720068718,-0.39464538558699136,2
59,2001-12-16,Gedo,0.0,0.3098482010212047,-0.19940772294495102,3
60,2002-01-16,Gedo,0.0,-0.1136987813396065,-0.1867517650422124,0
61,2002-02-15,Gedo,0.0,-0.14159018391023698,-0.8887618468796598,0
62,2002-03-16,Gedo,0.0,0.1462438605744952,-1.485382935594192,1
63,2002-04-16,Gedo,2.0,0.24389558999972835,-0.4576364036521136,2
64,2002-05-16,Gedo,4.0,0.6915916937854312,-0.376815283266795,3
65,2002-06-16,Gedo,0.0,0.5956084143963971,-0.473253967394345,4
66,2002-07-16,Gedo,0.0,1.1607744114232188,-1.6881819185620521,5
67,2002-08-16,Gedo,2.0,1.0230725793170186,-1.5885900938390096,6
68,2002-09-16,Gedo,0.0,0.8402968200704087,-0.8165320452252263,7
69,2002-10-16,Gedo,0.0,0.27936919153349177,-0.09917172977915767,8
70,2002-11-16,Gedo,0.0,0.5459951516201961,0.41193951897766884,9
71,2002-12-16,Gedo,0.0,0.9340770080551669,0.8233417566609621,10
72,2003-01-16,Gedo,0.0,1.0056285346836547,0.32253497315413865,11
73,2003-02-15,Gedo,0.0,0.7495887707018865,-0.15982493351432225,12
74,2003-03-16,Gedo,0.0,0.5182738728745343,-0.7306503926353135,13
75,2003-04-16,Gedo,0.0,1.0097744182123323,-0.17959162396924397,14
76,2003-05-16,Gedo,4.0,1.3597967986347104,0.30395586583108763,15
77,2003-06-16,Gedo,0.0,1.5406794075110442,0.3626149719639862,16
78,2003-07-16,Gedo,0.0,0.6068748992589327,0.5220264663505882,17
79,2003-08-16,Gedo,2.0,0.055951999800409664,0.4160680295058982,18
80,2003-09-16,Gedo,0.0,-0.7923958055631667,0.5893878220655245,0
81,2003-10-16,Gedo,0.0,-0.49669914409876714,0.16187084442375663,0
82,2003-11-16,Gedo,0.0,-0.23981865573988959,0.12936359536494837,0
83,2003-12-16,Gedo,0.0,0.23021520974549162,-0.21285069922594438,1
84,2004-01-16,Gedo,2.0,0.9876440836486312,0.10231888479590256,2
85,2004-02-15,Gedo,0.0,0.76469463370359,0.31705919759535395,3
86,2004-03-16,Gedo,0.0,0.40994627181882093,0.6624388060474314,4
87,2004-04-16,Gedo,2.0,-0.5090501077776328,0.5740594014892518,0
88,2004-05-16,Gedo,2.0,-0.278653587727079,0.4977847745932988,0
89,2004-06-16,Gedo,4.0,-0.18366540900978814,0.3826097982261784,0
90,2004-07-16,Gedo,0.0,0.03283862253913554,0.5833365964042792,1
91,2004-08-16,Gedo,0.0,-0.06496334827515515,0.48374376863166163,0
92,2004-09-16,Gedo,0.0,-0.09649488163440016,0.54041435818334,0
93,2004-10-16,Gedo,0.0,-0.6017510457139568,0.11289738054157206,0
94,2004-11-16,Gedo,0.0,-0.7000199045388928,0.06860676061285774,0
95,2004-12-16,Gedo,6.0,-0.32749216020840394,-0.2031440226718713,0
96,2005-01-16,Gedo,0.0,0.05074058251438209,0.11202556134997566,1
97,2005-02-15,Gedo,8.0,0.19006034691908177,0.3789380857897837,2
98,2005-03-16,Gedo,2.0,0.15215518702917555,0.7091932558899549,3
99,2005-04-16,Gedo,18.0,0.4180869078015554,0.5751529474536502,4
100,2005-05-16,Gedo,6.0,0.03698778782178199,0.45212387071517396,5
101,2005-06-16,Gedo,4.0,-0.5510665952471415,0.3369488943480536,0
102,2005-07-16,Gedo,4.0,-0.8001718927736822,0.5833365964042792,0
103,2005-08-16,Gedo,8.0,-0.34118000196812565,0.48374376863166163,0
104,2005-09-16,Gedo,4.0,0.11653466669079648,0.5957534311375973,1
105,2005-10-16,Gedo,2.0,0.2629356343279083,0.16823645349582925,2
106,2005-11-16,Gedo,0.0,0.18290590656610228,-0.0010988147940548438,3
107,2005-12-16,Gedo,2.0,-0.1678598072047568,-0.32818867103304106,0
108,2006-01-16,Gedo,0.0,-0.3914126999742305,-0.013019087011194105,0
109,2006-02-15,Gedo,0.0,0.11829838790812564,0.17838638824122732,1
110,2006-03-16,Gedo,2.0,0.856229531587218,0.48221775171701564,2
111,2006-04-16,Gedo,6.0,0.8202404172299781,0.23359081076605737,3
112,2006-05-16,Gedo,0.0,0.2579667656279894,0.23962196932008129,4
113,2006-06-16,Gedo,8.0,0.07593726906606635,-0.027863873316973514,5
114,2006-07-16,Gedo,0.0,0.2091106838136336,0.22902347813319168,6
115,2006-08-16,Gedo,0.0,0.04037270410104248,0.14999694297660948,7
116,2006-09-16,Gedo,5.0,-0.41372850849662174,0.7617080220277844,0
117,2006-10-16,Gedo,0.0,-0.12117190180180233,0.43827802750673045,0
118,2006-11-16,Gedo,6.0,0.08297979041387188,0.4449125772180372,1
119,2006-12-16,Gedo,2.0,0.35125627856808145,-0.2031440226718713,2
120,2007-01-16,Gedo,0.0,0.05200679155992224,0.11202556134997566,3
121,2007-02-15,Gedo,6.0,0.07129259971249462,0.3789380857897837,4
122,2007-03-16,Gedo,6.0,0.10527806480286539,0.7091932558899549,5
123,2007-04-16,Gedo,8.0,0.01296947437802561,0.620813851331775,6
124,2007-05-16,Gedo,2.0,-0.025807897134369207,0.4977847745932988,0
125,2007-06-16,Gedo,2.0,-0.14654286300824756,0.3826097982261784,0
126,2007-07-16,Gedo,2.0,-0.538426451985332,-0.3957306294306511,0
127,2007-08-16,Gedo,2.0,-0.675511330620128,-0.8804449909652634,0
128,2007-09-16,Gedo,2.0,-0.5442382167336466,-1.4743161047826927,0
129,2007-10-16,Gedo,2.0,0.1051803732700995,-0.307277327665735,1
130,2007-11-16,Gedo,4.0,0.11886039147844056,0.0462240239393786,2
131,2007-12-16,Gedo,0.0,-0.1738845229979069,0.4250149440237572,0
132,2008-01-16,Gedo,4.0,-0.2410740749161059,0.12469599912180879,0
133,2008-02-15,Gedo,0.0,-0.6732966489199351,0.3789380857897837,0
134,2008-03-16,Gedo,2.0,-1.2707238457730499,0.7091932558899549,0
135,2008-04-16,Gedo,4.0,-1.5294150966516276,0.2387470631684977,0
136,2008-05-16,Gedo,2.0,-1.3479537089752271,0.21691797193013695,0
137,2008-06-16,Gedo,0.0,-0.7253366204607049,0.1017429955630166,0
138,2008-07-16,Gedo,8.0,-0.5680048343150199,0.3451699531549374,0
139,2008-08-16,Gedo,2.0,0.04970720000765664,0.14437713988220438,1
140,2008-09-16,Gedo,2.0,0.8343434066709889,-0.5072925903199365,2
141,2008-10-16,Gedo,6.0,1.1798025839643522,-0.3915509459612476,3
142,2008-11-16,Gedo,6.0,0.5270572879437978,-0.79734375874092,4
143,2008-12-16,Gedo,2.0,-0.20604726421501107,-0.3607542222718298,0
144,2009-01-16,Gedo,6.0,-0.4878551663253709,0.10165360234548497,0
145,2009-02-15,Gedo,2.0,-0.27363108418048737,0.7300683196362511,0
146,2009-03-16,Gedo,4.0,0.1437290142225056,0.39465994665962895,1
147,2009-04-16,Gedo,4.0,0.5583850657471324,-0.6601677766088158,2
148,2009-05-16,Gedo,0.0,1.1593650644536508,-1.2506278120991583,3
149,2009-06-16,Gedo,0.0,1.3966827517305938,-0.7001392453894854,4
150,2009-07-16,Gedo,2.0,1.3992407907773756,-0.17467026424592588,5
151,2009-08-16,Gedo,8.0,1.4429573360161123,0.19316786673332295,6
152,2009-09-16,Gedo,0.0,1.6043731247252253,0.3051775292392585,7
153,2009-10-16,Gedo,0.0,1.3563851503701152,0.22027007405961216,8
154,2009-11-16,Gedo,4.0,1.086200671094388,0.17597945413089786,9
155,2009-12-16,Gedo,4.0,1.19981104175701,-0.10573683039419622,10
0,1997-01-16,Hiraan,0.0,,,0
1,1997-02-15,Hiraan,0.0,,,0
2,1997-03-16,Hiraan,0.0,-0.44528380789001787,-1.1836257396138727,0
3,1997-04-16,Hiraan,0.0,-1.1077964639056117,0.21728072294514775,0
4,1997-05-16,Hiraan,0.0,-1.0408560728872018,0.13528264009137972,0
5,1997-06-16,Hiraan,0.0,-1.265730740966977,-0.5309717756149918,0
6,1997-07-16,Hiraan,0.0,-0.3156781337537941,-1.7744306690972913,0
7,1997-08-16,Hiraan,2.0,0.158130512815737,-1.4142740809814736,1
8,1997-09-16,Hiraan,0.0,0.5721000751622669,-1.3534639557169161,2
9,1997-10-16,Hiraan,0.0,0.11226609627846484,-0.6974128424520502,3
10,1997-11-16,Hiraan,0.0,-0.3937573865796815,0.6201752522879579,0
11,1997-12-16,Hiraan,0.0,-0.8421351395893427,2.2391132507202802,0
12,1998-01-16,Hiraan,0.0,-0.13492734564459127,2.3090035554570973,0
13,1998-02-15,Hiraan,0.0,0.33053556108821125,0.6464462271747223,1
14,1998-03-16,Hiraan,0.0,0.7405808604775673,-0.7716026161068442,2
15,1998-04-16,Hiraan,0.0,0.2176735377327416,-1.2776993239489556,3
16,1998-05-16,Hiraan,0.0,-0.05835741544679418,0.2628056813910744,0
17,1998-06-16,Hiraan,0.0,0.14491604152004411,0.0011064009757613125,1
18,1998-07-16,Hiraan,0.0,0.18111543232536087,-0.21345077976219384,2
19,1998-08-16,Hiraan,0.0,0.12189912785898845,-1.2935217976813276,3
20,1998-09-16,Hiraan,0.0,-0.3049730298203121,-1.316776780774375,0
21,1998-10-16,Hiraan,0.0,0.04875306357356372,-1.7842249454873909,1
22,1998-11-16,Hiraan,0.0,-0.03781298468509501,-1.7855399992446042,0
